455.52,524.16,515.84,430.56,440.96,382.72,393.12
409.53,471.24,463.76,387.09,396.44,344.08,353.43
448.95,516.6,508.4,424.35,434.6,377.2,387.45
431.43,496.44,488.56,407.79,417.64,362.48,372.33
389.82,448.56,441.44,368.46,377.36,327.52,336.42
365.73,420.84,414.16,345.69,354.04,307.28,315.63
346.02,398.16,391.84,327.06,334.96,290.72,298.62
365.73,420.84,414.16,345.69,354.04,307.28,315.63
378.87,435.96,429.04,358.11,366.76,318.32,326.97
413.91,476.28,468.72,391.23,400.68,347.76,357.21
431.43,496.44,488.56,407.79,417.64,362.48,372.33
457.71,526.68,518.32,432.63,443.08,384.56,395.01
