447.2,520,482.56,455.52,420.16,411.84,388.96
402.05,467.5,433.84,409.53,377.74,370.26,349.69
442.9,515,477.92,451.14,416.12,407.88,385.22
436.45,507.5,470.96,444.57,410.06,401.94,379.61
382.7,445,412.96,389.82,359.56,352.44,332.86
359.05,417.5,387.44,365.73,337.34,330.66,312.29
339.7,395,366.56,346.02,319.16,312.84,295.46
359.05,417.5,387.44,365.73,337.34,330.66,312.29
371.95,432.5,401.36,378.87,349.46,342.54,323.51
406.35,472.5,438.48,413.91,381.78,374.22,353.43
430,500,464,438,404,396,374
451.5,525,487.2,459.9,424.2,415.8,392.7
