453.44,488.8,445.12,432.64,407.68,388.96,366.08
407.66,439.45,400.18,388.96,366.52,349.69,329.12
470.88,507.6,462.24,449.28,423.36,403.92,380.16
442.54,477.05,434.42,422.24,397.88,379.61,357.28
388.04,418.3,380.92,370.24,348.88,332.86,313.28
364.06,392.45,357.38,347.36,327.32,312.29,293.92
344.44,371.3,338.12,328.64,309.68,295.46,278.08
364.06,392.45,357.38,347.36,327.32,312.29,293.92
377.14,406.55,370.22,359.84,339.08,323.51,304.48
412.02,444.15,404.46,393.12,370.44,353.43,332.64
442.54,477.05,434.42,422.24,397.88,379.61,357.28
466.52,502.9,457.96,445.12,419.44,400.18,376.64
