420.16,488.8,455.52,416,399.36,382.72,366.08
377.74,439.45,409.53,374,359.04,344.08,329.12
436.32,507.6,473.04,432,414.72,397.44,380.16
410.06,477.05,444.57,406,389.76,373.52,357.28
359.56,418.3,389.82,356,341.76,327.52,313.28
337.34,392.45,365.73,334,320.64,307.28,293.92
319.16,371.3,346.02,316,303.36,290.72,278.08
337.34,392.45,365.73,334,320.64,307.28,293.92
349.46,406.55,378.87,346,332.16,318.32,304.48
381.78,444.15,413.91,378,362.88,347.76,332.64
410.06,477.05,444.57,406,389.76,373.52,357.28
432.28,502.9,468.66,428,410.88,393.76,376.64
